benatzkygasse;60200121;16.4396099;48.2299444
berggasse;60200122;16.3617349;48.2180646
bergmillergasse;60200123;16.2567758;48.2013745
yppengasse;60200124;16.3356658;48.2147127
theodor körner gasse;60200125;16.4076568;48.2497179
fernkorngasse;60200127;16.3635675;48.1740647
bernreiterplatz;60200128;16.4063453;48.2814054
mühlschüttel;60200129;16.410729;48.2491975
berzeliusgasse;60200130;16.4104955;48.2756542
franz eder weg;60200131;16.4345074;48.1772456
anton schall gasse;60200132;16.4157147;48.2890208
bettelheimstraße;60200133;16.4924937;48.2789962
bernoullistraße;60200134;16.4370317;48.2401701
döblinger hauptstraße gatterburggasse;60200135;16.3546023;48.2389137
laxenburger straße gudrunstraße;60200136;16.3737544;48.1783597
bezirksamt margareten;60200137;16.3549976;48.1906739
bibernellweg;60200138;16.4790998;48.2472534
kretschekgasse;60200139;16.2836893;48.2246422
schierlinggrundbrücke;60200140;16.4648076;48.2087085
alberner hafenzufahrtsstraße west;60200141;16.4703772;48.1733458
bischoffgasse;60200142;16.3219935;48.1833792
bischofgasse;60200143;16.3975238;48.1380845
blaasstraße;60200144;16.341972;48.2371128
blechturmgasse;60200145;16.3682747;48.1843555
bleibtreustraße;60200146;16.4490332;48.1779764
blériotgasse;60200147;16.4256411;48.1709734
blindengasse;60200148;16.3404808;48.2109714
blumengasse;60200149;16.3317312;48.2214942
hetmanekgasse;60200150;16.3169719;48.1373172
bohattaweg;60200152;16.2297095;48.1379406
borkowskigasse;60200153;16.3306263;48.2370889
maculangasse wagramer straße;60200155;16.4536865;48.2624873
braillegasse;60200156;16.295062;48.2027097
brandstätte;60200157;16.3705384;48.210265
braungasse;60200158;16.296095;48.2269523
grimmgasse;60200159;16.3283625;48.1869069
braunhubergasse;60200160;16.4186701;48.1717882
braunschweiggasse;60200161;16.2954572;48.1894881
scheffelstraße;60200162;16.4055458;48.2516619
breiteneckergasse;60200163;16.3294135;48.1441869
breitenlee friedhof;60200164;16.4929159;48.2511655
breitenlee ort;60200165;16.4975871;48.2511954
breitensee;60200166;16.3063628;48.198243
roschégasse;60200167;16.4502908;48.1539323
bretschneidergasse;60200168;16.3481254;48.2542399
brigittagasse;60200169;16.3747246;48.2332774
brigittaplatz;60200170;16.3703318;48.2326431
brockhausengasse;60200171;16.4770067;48.2076908
thaliastraße brunnengasse;60200172;16.3354323;48.2090498
neulerchenfelder straße brunnengasse;60200173;16.3359443;48.2110911
brunner straße erlaaer straße;60200174;16.2968137;48.1461948
brückengasse;60200175;16.3476044;48.1913027
brünner straße;60200176;16.4037042;48.2677557
bergtaidingweg;60200177;16.3973172;48.1466084
brünnlbadgasse;60200178;16.3457359;48.2153951
brüßlgasse;60200179;16.3207089;48.2059966
bubergasse;60200180;16.4514766;48.2704524
buchbindergasse;60200181;16.2697834;48.1637119
grünhaufenbrücke;60200182;16.4522222;48.1922609
computerstraße gutheil schoder gasse;60200183;16.3370672;48.159883
hütteldorf, bujattigasse;60200184;16.2551408;48.2026318
bundessportbad;60200185;16.4209698;48.2400086
bunsengasse;60200186;16.3909931;48.2632588
burgersteingasse;60200187;16.2979545;48.202566
burggasse stadthalle;60200188;16.3373097;48.2022965
campingplatz wien west 2;60200189;16.2495443;48.2145092
burgring;60200190;16.3637202;48.2039251
burgstall;60200191;16.3613486;48.2699442
rathausplatz burgtheater;60200192;16.3606569;48.2104446
bärenmühldurchgang;60200193;16.3662894;48.1995124
börnergasse;60200194;16.3316324;48.2475644
börse;60200195;16.3660019;48.2155627
bösendorferstraße karlsplatz u;60200196;16.3705923;48.2012967
camillo sitte gasse;60200197;16.3273025;48.2050027
breitenfurter straße willergasse;60200198;16.2571171;48.1379646
gerbergasse;60200199;16.2994278;48.149839
campingplatz wien west 1;60200200;16.2535149;48.2112827
